protocol,tx_hash,user,block_number,log_index,collateral_asset,debt_asset,health_factor,measurable,mismatch,cause
aave_v2,0xdb7c3288c8b28b469e30fa502619878a8531e4878a648ad3744762a84ccd0f5f,0x6545910c219081b23e7b49560cba7615a1f0a535,11931555,81,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.0331343663042036,True,True,unexplained
aave_v2,0xeec2f46fdbb2bc4ab2b204337c76fdb63fe26feb026602f13e6f84cf24b42f65,0x73b072312c9360960e12e1558af3fbfe2ec85535,11931603,67,0x408e41876cccdc0f92210600ef50372656052a38,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.0174048576278325,True,True,unexplained
aave_v2,0x01aa99b0252f54642a0ffab01ce126bd9be8f36f9489aac28d3bad60dce69f6d,0x6c07b538fc627ae1465136f14f0f2e6143eeebf5,11943469,150,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b175474e89094c44da98b954eedeac495271d0f,1.0240371741886045,True,True,unexplained
aave_v2,0x980d545506b432c729b09d4efea928d70d9e5f71f36de69f40d6b35d00c267aa,0x9c03ee6be97c34b5ecfe4c67651d03dd13952698,11943482,197,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.0590341668293826,True,True,unexplained
aave_v2,0xf733372474854a2166f7c81a9df3e741d46814878cde6c3f22c30e3ce357629a,0x8aee8a1a34348530d2dfaf90ffbc4bc00a3d4328,11943566,146,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.057522965408044,True,True,unexplained
aave_v2,0x4121b283253b56f2bd692c9ea0b1f5681c75a2c2cbdafd2b11b7bf75416d2757,0xcd5388e76038b9cf94690eb229c4c5c231bc8116,11943577,115,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b175474e89094c44da98b954eedeac495271d0f,1.0518970203566596,True,True,unexplained
aave_v2,0x19325c08663a5ffe0a9e9d9ec923ce66c06eea6db640daed63dce36cefeb0f31,0x989b3482f2540d61e1ac2bdfceb5940e4709ac19,11944143,187,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.07186486570288,True,True,unexplained
aave_v2,0xa3bfc3c98c68b6c64883ac733ae67ee54cb515fdacf9c9f593f2ba044cf85f78,0x2d491a089fa87393480185312f01ec775d8bcab8,11944145,130,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,1.0722063070711942,True,True,unexplained
aave_v2,0x6087ee34a5ca65bea3b78138a5dfef92fcfe45cfc8f92aa58eb8fcfc99f072db,0xa34e913005640240956afa4b03038b50da58d85d,11946344,189,0x408e41876cccdc0f92210600ef50372656052a38,0xdac17f958d2ee523a2206206994597c13d831ec7,1.0795565660490571,True,True,unexplained
aave_v2,0xcd99776b5d3dc46ce9a39ab4275c938e640172c245c300d81977c492eb43c045,0x29c75014f0f5fb13c86704d6f02fa34ae5dc6272,11946680,70,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x6b175474e89094c44da98b954eedeac495271d0f,1.10055261806891,True,True,unexplained
aave_v2,0xce35b5697a80c5742a4a6d00165f17a0ef2f446fe14609a35f7eda156bdca534,0x8aee8a1a34348530d2dfaf90ffbc4bc00a3d4328,11946708,218,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,1.1050979976961939,True,True,unexplained
aave_v2,0x0f0687efbb0c31d4a07a0b72fdb8be7dcc31df0aa899ce1de1554ea4eb2f1c6d,0xc15753ae3b6099b8a3366b836433d6542645b876,11946736,200,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.1131525416910055,True,True,unexplained
aave_v2,0xc34533046575754b36c41409511b720e019431683ebabe5f875bad9f1189c744,0xad5fe0d08e83c92989421ed6ad41c50bd63bb7b0,11946740,259,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,1.1169846752782173,True,True,unexplained
aave_v2,0x613232de163804582b53c22a031eeafc3dc6a3688bdded30709493399adf83af,0x6545910c219081b23e7b49560cba7615a1f0a535,11946744,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.1192127801814185,True,True,unexplained
aave_v2,0x08007174e9e02cff77433626b4781dcd1823ada0b1f1b6bafb62d9d49d313b8e,0xfeed480e0e58b9e97126a49c5d33b6d185b36d7e,11965769,174,0x6b175474e89094c44da98b954eedeac495271d0f,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,1.0702754711706552,True,True,unexplained
aave_v2,0x079c3c4c440c199b3f4578db1cc2f5625271d0411a6547954cf5568b32cc483a,0xa1482c01ff6a35b4ee6f72c7300aa17829bafccc,11969444,195,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.0124901855116752,True,True,unexplained
aave_v2,0x846d9c526f50e58ceb2c4b75ab08d4da79786dd398b75215f410f685093718fc,0x6bc5f3e5a5ac9fad1302603719bf216a3a12f813,11969692,186,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.016401270404744,True,True,unexplained
aave_v2,0x1d9e0962f1046ebe725ee84f4b7af9841929c195f26ae980efde56fae3cb1aa8,0xe1d18ae098ffb1ad301e0609180f155b329a710a,11971490,62,0x514910771af9ca656af840dff83e8264ecf986ca,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.0538700398245298,True,True,unexplained
aave_v2,0xd2073283c5b8d0c6c1a8765e7e6df2410fde856115ff46c1a968c4e92711b7cd,0x73b072312c9360960e12e1558af3fbfe2ec85535,11973875,61,0x408e41876cccdc0f92210600ef50372656052a38,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.0390192384913484,True,True,unexplained
aave_v2,0xcd2e5090099c338c7d9dfe4df0c54375ed0bcd19c44d84c4f2e6a3bbb3e85578,0x73b072312c9360960e12e1558af3fbfe2ec85535,11975219,248,0x408e41876cccdc0f92210600ef50372656052a38,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.0152356607617745,True,True,unexplained
aave_v2,0xfd9061aa4523501c42663169a7bab2b19649a1ec2936bf3859964e98f9d145b8,0x6bc5f3e5a5ac9fad1302603719bf216a3a12f813,11977190,61,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0xdac17f958d2ee523a2206206994597c13d831ec7,1.0170293768855805,True,True,unexplained
aave_v2,0xb425b10eede9cf2bfaebede8e34463cb4bd6e417f3ed85f45cd1fc39126aaf2c,0x61eccd16885460d355a470baf074c0ac93174c80,12001121,231,0x514910771af9ca656af840dff83e8264ecf986ca,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,1.020470137985957,True,True,unexplained
aave_v2,0x74d16589db402b836604070927d407021af8b3d219c308e588ff74f33400c210,0x82411c684fed24666372e6381ea17777feccda08,12007989,113,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.0341262043008799,True,True,unexplained
aave_v2,0xcb6e455b4740ea6d09da240fafd7ea6c92ce5be7cb2314bddac2473efe083c4c,0xe1d18ae098ffb1ad301e0609180f155b329a710a,12023971,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,1.0555244815905167,True,True,unexplained
